tiempo_s,x_odom,y_odom,phi_odom,vel_izq_radps,vel_der_radps,ps_front_max,waypoint_idx,casi_colision,x_gps,y_gps
0.064,-0.7,-0.7,0.0,-4.981,4.981,57.19,1,0,,
0.128,-0.6999,-0.7,0.2501,-4.188,4.188,67.41,1,0,,
0.192,-0.6999,-0.7,0.458,-3.529,3.529,68.6,1,0,,
0.256,-0.6999,-0.7,0.6363,-2.963,2.963,69.65,1,0,,
0.32,-0.6999,-0.6999,0.7873,-2.485,2.485,73.4,1,0,,
0.384,-0.6999,-0.6999,0.9111,-2.092,2.092,71.56,1,0,,
0.448,-0.6999,-0.6999,1.0151,-1.762,1.762,70.67,1,0,,
0.512,-0.6999,-0.6999,1.1042,-1.48,1.48,70.87,1,0,,
0.576,-0.6999,-0.6999,1.1785,-1.244,1.244,70.39,1,0,,
0.64,-0.6999,-0.6999,1.2428,-1.04,1.04,68.6,1,0,,
0.704,-0.6999,-0.6999,1.2973,-0.868,0.868,68.43,1,0,,
0.768,-0.6999,-0.6999,1.3394,-0.734,0.734,72.01,1,0,,
0.832,-0.6999,-0.7,1.3765,-0.616,0.616,69.19,1,0,,
0.896,-0.6999,-0.7,1.4062,-0.522,0.522,70.08,1,0,,
0.96,-0.6999,-0.6999,1.4335,-0.436,0.436,71.07,1,0,,
1.024,-0.6999,-0.7,1.4558,-0.365,0.365,72.39,1,0,,
1.088,-0.6999,-0.7,1.4756,6.28,6.28,70.33,1,0,,
1.152,-0.6991,-0.6917,1.4756,6.28,6.28,68.39,1,0,,
1.216,-0.6983,-0.6836,1.4731,6.28,6.28,68.5,1,0,,
1.28,-0.6983,-0.6813,1.7009,0.407,-0.407,69.36,1,0,,
1.344,-0.6985,-0.6788,1.5845,6.28,6.28,71.4,1,0,,
1.408,-0.6986,-0.6704,1.5746,6.28,6.28,68.24,1,0,,
1.472,-0.6975,-0.6576,1.3963,-0.561,0.561,70.75,1,0,,
1.536,-0.6976,-0.6583,1.4533,-0.381,0.381,69.12,1,0,,
1.6,-0.6977,-0.6588,1.4929,6.28,6.28,70.98,1,0,,
1.664,-0.6972,-0.6515,1.5226,6.28,6.28,70.0,1,0,,
1.728,-0.6968,-0.6434,1.5275,6.28,6.28,69.17,1,0,,
1.792,-0.6965,-0.6352,1.5251,6.28,6.28,69.04,1,0,,
1.856,-0.6961,-0.627,1.5251,6.28,6.28,74.51,1,0,,
1.92,-0.6957,-0.6188,1.5275,6.28,6.28,72.37,1,0,,
1.984,-0.6954,-0.6106,1.5275,6.28,6.28,69.55,1,0,,
2.048,-0.695,-0.6024,1.5275,6.28,6.28,71.02,1,0,,
2.112,-0.6946,-0.5942,1.5251,6.28,6.28,70.19,1,0,,
2.176,-0.6943,-0.586,1.5251,6.28,6.28,69.59,1,0,,
2.24,-0.6939,-0.5778,1.5275,6.28,6.28,69.78,1,0,,
2.304,-0.6936,-0.5696,1.5275,6.28,6.28,71.92,1,0,,
2.368,-0.6932,-0.5614,1.5251,6.28,6.28,71.75,1,0,,
2.432,-0.6928,-0.5532,1.5251,6.28,6.28,70.14,1,0,,
2.496,-0.6924,-0.5449,1.5251,6.28,6.28,68.97,1,0,,
2.56,-0.6921,-0.5368,1.5275,6.28,6.28,74.18,1,0,,
2.624,-0.6917,-0.5285,1.5275,6.28,6.28,70.8,1,0,,
2.688,-0.6914,-0.5204,1.5251,6.28,6.28,70.15,1,0,,
2.752,-0.691,-0.5121,1.5251,6.28,6.28,69.08,1,0,,
2.816,-0.6906,-0.504,1.5275,6.28,6.28,70.26,1,0,,
2.88,-0.6903,-0.4957,1.5275,6.28,6.28,70.12,1,0,,
2.944,-0.6899,-0.4875,1.5275,6.28,6.28,71.35,1,0,,
3.008,-0.6895,-0.4793,1.5251,6.28,6.28,67.89,1,0,,
3.072,-0.6892,-0.4711,1.5251,6.28,6.28,69.7,1,0,,
3.136,-0.6888,-0.4629,1.5275,6.28,6.28,72.22,1,0,,
3.2,-0.6884,-0.4547,1.5275,6.28,6.28,68.79,1,0,,
3.264,-0.6881,-0.4465,1.5251,6.28,6.28,72.32,1,0,,
3.328,-0.6877,-0.4383,1.5251,6.28,6.28,71.37,1,0,,
3.392,-0.6873,-0.4301,1.5251,6.28,6.28,74.47,1,0,,
3.456,-0.687,-0.4219,1.5275,6.28,6.28,70.49,1,0,,
3.52,-0.6866,-0.4137,1.5275,6.28,6.28,67.73,1,0,,
