tiempo_s,x_odom,y_odom,phi_odom,vel_izq_radps,vel_der_radps,ps_front_max,waypoint_idx,casi_colision,x_gps,y_gps
0.064,-0.7,-0.7,0.0,3.902,3.902,57.19,1,0,,
0.128,-0.6949,-0.7,0.0,3.902,3.902,67.41,1,0,,
0.192,-0.6898,-0.7,0.0,3.902,3.902,68.6,1,0,,
0.256,-0.6847,-0.7,0.0,3.902,3.902,69.65,1,0,,
0.32,-0.6795,-0.7,0.0,3.902,3.902,73.4,1,0,,
0.384,-0.6744,-0.7,0.0,3.902,3.902,71.56,1,0,,
0.448,-0.6694,-0.7,0.0,3.902,3.902,70.67,1,0,,
0.512,-0.6642,-0.7,0.0,3.902,3.902,70.87,1,0,,
0.576,-0.6591,-0.7,0.0,3.902,3.902,70.39,1,0,,
0.64,-0.654,-0.7,0.0,3.902,3.902,68.6,1,0,,
0.704,-0.6489,-0.7,0.0,3.902,3.902,68.43,1,0,,
0.768,-0.6437,-0.7,0.0,3.902,3.902,72.01,1,0,,
0.832,-0.6386,-0.7,0.0,3.902,3.902,69.19,1,0,,
0.896,-0.6336,-0.7,0.0,3.902,3.902,70.08,1,0,,
0.96,-0.6284,-0.7,0.0,3.759,3.759,71.07,1,0,,
1.024,-0.6235,-0.7,0.0,3.615,3.615,72.39,1,0,,
1.088,-0.6188,-0.7,0.0,3.476,3.476,70.33,1,0,,
1.152,-0.6143,-0.7,0.0,3.344,3.344,68.39,1,0,,
1.216,-0.6098,-0.7,0.0,3.212,3.212,68.5,1,0,,
1.28,-0.6056,-0.7,0.0,3.092,3.092,69.36,1,0,,
1.344,-0.6015,-0.7,0.0,2.971,2.971,71.4,1,0,,
1.408,-0.5977,-0.7,0.0,2.858,2.858,68.24,1,0,,
1.472,-0.5939,-0.7,0.0,2.749,2.749,70.75,1,0,,
1.536,-0.5903,-0.7,0.0,2.643,2.643,69.12,1,0,,
1.6,-0.5868,-0.7,0.0,2.542,2.542,70.98,1,0,,
1.664,-0.5835,-0.7,0.0,2.444,2.444,70.0,1,0,,
1.728,-0.5803,-0.7,0.0,2.349,2.349,69.17,1,0,,
1.792,-0.5772,-0.7,0.0,2.259,2.259,69.04,1,0,,
1.856,-0.5742,-0.7,0.0,2.172,2.172,74.51,1,0,,
1.92,-0.5714,-0.7,0.0,2.089,2.089,72.37,1,0,,
1.984,-0.5687,-0.7,0.0,2.01,2.01,69.55,1,0,,
2.048,-0.566,-0.7,0.0,1.931,1.931,71.02,1,0,,
2.112,-0.5635,-0.7,0.0,1.86,1.86,70.19,1,0,,
2.176,-0.5611,-0.7,0.0,1.788,1.788,69.59,1,0,,
2.24,-0.5588,-0.7,0.0,1.72,1.72,69.78,1,0,,
2.304,-0.5565,-0.7,0.0,1.652,1.652,71.92,1,0,,
2.368,-0.5543,-0.7,0.0,1.588,1.588,71.75,1,0,,
2.432,-0.5522,-0.7,0.0,1.528,1.528,70.14,1,0,,
2.496,-0.5501,-0.7,0.0,1.468,1.468,68.97,1,0,,
2.56,-0.5482,-0.7,0.0,1.411,1.411,74.18,1,0,,
2.624,-0.5464,-0.7,0.0,1.358,1.358,70.8,1,0,,
2.688,-0.5446,-0.7,0.0,1.306,1.306,70.15,1,0,,
2.752,-0.5429,-0.7,0.0,1.257,1.257,69.08,1,0,,
2.816,-0.5413,-0.7,0.0,1.208,1.208,70.26,1,0,,
2.88,-0.5397,-0.7,0.0,1.162,1.162,70.12,1,0,,
2.944,-0.5382,-0.7,0.0,1.117,1.117,71.35,1,0,,
3.008,-0.5368,-0.7,0.0,1.076,1.076,67.89,1,0,,
3.072,-0.5353,-0.7,0.0,1.034,1.034,69.7,1,0,,
3.136,-0.5339,-0.7,0.0,0.993,0.993,72.22,1,0,,
3.2,-0.5326,-0.7,0.0,0.955,0.955,68.79,1,0,,
3.264,-0.5314,-0.7,0.0,0.918,0.918,72.32,1,0,,
3.328,-0.5302,-0.7,0.0,0.884,0.884,71.37,1,0,,
3.392,-0.529,-0.7,0.0,-2.085,2.085,74.47,2,0,,
3.456,-0.529,-0.7,0.0949,-2.085,2.085,70.49,2,0,,
3.52,-0.529,-0.7,0.192,-2.085,2.085,67.73,2,0,,
3.584,-0.529,-0.7,0.2891,-2.085,2.085,70.57,2,0,,
3.648,-0.529,-0.7,0.384,-2.085,2.085,69.34,2,0,,
3.712,-0.529,-0.7,0.4788,-2.085,2.085,66.35,2,0,,
3.776,-0.529,-0.7,0.5759,-2.085,2.085,72.75,2,0,,
3.84,-0.529,-0.7,0.6731,-2.085,2.085,71.24,2,0,,
3.904,-0.529,-0.7,0.7679,-2.085,2.085,73.94,2,0,,
3.968,-0.529,-0.7,0.8628,-1.96,1.96,72.58,2,0,,
